Unigram,Frequency
<s>,78453
=,29570
Valkyria,54
Chronicles,47
III,231
Senjō,5
no,1199
3,1601
:,3806
Unrecorded,1
(,11992
Japanese,255
戦場のヴァルキュリア3,3
",",102612
lit,29
.,77579
<e>,78453
of,56889
the,113161
Battlefield,4
),12004
commonly,114
referred,206
to,39190
as,14021
outside,281
Japan,212
is,11638
a,34251
tactical,25
role,588
@,45600
-,17144
playing,316
video,614
game,1846
developed,424
by,12148
Sega,9
and,50605
Media.Vision,4
for,13307
PlayStation,124
Portable,21
Released,14
in,39453
January,693
2011,519
it,6752
third,646
series,1328
Employing,2
same,972
fusion,45
real,217
time,2451
gameplay,81
its,3697
predecessors,24
story,480
runs,194
parallel,66
first,3978
follows,128
``,28309
Nameless,12
penal,5
military,501
unit,169
serving,101
nation,111
Gallia,5
during,1973
Second,165
Europan,3
War,766
who,2963
perform,113
secret,79
black,361
operations,288
are,4669
pitted,9
against,1260
Imperial,62
Calamaty,1
Raven,8
The,17602
began,1102
development,411
2010,611
carrying,65
over,2015
large,832
portion,126
work,1059
done,180
on,13678
II,585
While,443
retained,65
standard,164
features,332
also,3746
underwent,46
multiple,109
adjustments,5
such,1532
making,447
more,2319
forgiving,1
newcomers,5
Character,10
designer,52
Raita,2
Honjou,3
composer,67
Hitoshi,3
Sakimoto,5
both,1291
returned,441
from,8941
previous,399
entries,11
along,905
with,12606
director,289
Takeshi,6
Ozawa,3
A,1926
team,898
writers,169
handled,53
script,134
's,14002
opening,286
theme,188
was,20985
sung,54
May,871
'n,3
It,2522
met,249
positive,220
sales,135
praised,269
western,243
critics,334
After,1109
release,519
received,783
downloadable,27
content,116
an,5895
expanded,101
edition,131
November,661
that,14135
year,1507
adapted,82
into,2440
manga,53
original,616
animation,41
Due,106
low,389
not,4050
localized,15
but,4035
fan,69
translation,51
compatible,13
released,965
2014,291
would,2320
return,334
franchise,72
Azure,4
Revolution,79
4,1279
Gameplay,22
As,1037
Valkyira,2
games,668
where,1490
players,391
take,518
control,450
part,1278
missions,82
enemy,117
forces,468
Stories,55
told,242
through,1298
comic,92
book,611
like,921
panels,26
animated,42
character,631
portraits,28
characters,371
speaking,90
partially,59
voiced,64
speech,74
bubbles,9
unvoiced,1
text,99
player,565
progresses,20
linear,33
gradually,102
unlocked,9
maps,28
can,1437
be,4787
freely,22
scanned,1
replayed,4
they,2941
route,328
each,869
location,195
map,54
varies,33
depending,56
individual,159
approach,149
when,2036
one,3351
option,59
selected,160
other,2433
sealed,21
off,812
Outside,28
rest,276
camp,126
units,257
customized,6
growth,112
occurs,83
Alongside,10
main,658
specific,157
sub,45
relating,26
different,499
squad,72
members,464
completion,71
additional,222
episodes,192
some,1469
them,1481
having,465
higher,157
difficulty,78
than,1759
those,643
found,1031
There,596
love,270
simulation,5
elements,308
related,215
two,3238
heroines,2
although,680
very,674
minor,175
battle,271
system,638
BliTZ,1
carried,187
directly,176
During,717
select,36
using,417
top,563
down,764
perspective,54
battlefield,34
once,361
moves,96
around,889
person,209
only,1948
act,161
per,409
turn,195
granted,120
turns,83
at,8186
expense,25
',2914
Each,115
has,3322
field,414
distance,161
movement,175
limited,223
their,4127
Action,32
Gauge,2
Up,72
nine,239
assigned,191
single,711
mission,104
will,748
call,159
out,1707
if,681
something,164
happens,20
health,151
points,299
HP,3
getting,81
or,3636
being,1424
knocked,35
attacks,173
Potentials,3
skills,55
unique,116
They,953
divided,128
Personal,32
Potential,5
which,5543
innate,3
remain,141
unaltered,4
unless,35
otherwise,60
dictated,9
either,322
help,294
impede,3
Battle,178
grown,54
throughout,424
always,195
grant,60
boons,2
To,331
learn,65
Masters,58
Table,3
grid,23
based,682
skill,31
table,65
used,1505
acquire,25
link,78
Characters,19
have,3442
Special,63
Abilities,1
temporary,54
boosts,1
Kurt,50
activate,5
Direct,5
Command,82
move,312
without,542
depleting,1
his,8395
Point,56
gauge,19
Reila,1
shift,45
her,3486
Form,26
become,516
invincible,2
while,1684
Imca,3
target,74
heavy,320
weapon,50
Troops,5
five,844
classes,80
Scouts,10
Shocktroopers,1
Engineers,29
Lancers,2
Armored,12
Soldier,7
Troopers,1
switch,26
changing,72
Changing,8
class,325
does,332
greatly,91
affect,32
stats,3
gained,123
With,406
victory,289
experience,198
awarded,187
distributed,74
attributes,27
shared,88
entire,240
feature,212
differing,7
early,1065
method,81
distributing,5
types,126
Plot,73
takes,183
place,636
Gallian,8
Army,341
Squad,10
422,4
known,1249
composed,167
criminals,16
foreign,109
deserters,1
offenders,5
whose,246
names,234
erased,7
records,185
thereon,1
officially,131
numbers,188
Ordered,1
most,1778
dangerous,54
Regular,10
Militia,15
do,602
nevertheless,20
up,1843
task,69
exemplified,13
motto,5
Altaha,1
Abilia,1
meaning,175
Always,22
Ready,4
three,1803
No.7,1
Irving,7
army,229
officer,139
falsely,3
accused,70
treason,19
wishes,46
redeem,3
himself,417
;,4224
Ace,49
No.1,2
female,291
Darcsen,4
weapons,110
specialist,20
seeks,18
revenge,24
destroyed,190
home,652
No.13,1
Riela,3
Marcellis,1
seemingly,34
jinxed,1
young,326
woman,214
unknowingly,7
descendant,13
Together,47
fellow,87
these,1011
tasked,40
fight,138
mysterious,32
Calamity,4
consisting,84
mostly,207
soldiers,188
exist,91
upper,168
echelons,4
exploit,12
concept,130
plausible,12
deniability,1
order,439
send,49
make,604
lose,61
face,213
war,604
times,471
this,3079
works,357
advantage,134
successful,296
incursion,26
territory,166
orders,119
cause,184
certain,181
422nd,3
great,358
distress,19
One,559
member,278
Gusurg,1
becomes,147
so,1022
enraged,6
he,5947
abandons,4
post,194
defects,5
ranks,42
attached,83
ideal,33
independence,99
proposed,192
leader,108
Dahau,4
At,874
within,689
erase,4
protect,84
own,638
interests,60
Hounded,1
allies,25
enemies,44
combined,138
presence,170
traitor,4
desperately,9
keep,134
themselves,207
alive,37
effort,130
This,1481
continues,136
until,986
commanding,23
Ramsey,4
Crowe,11
had,5698
been,3257
kept,126
under,1087
house,292
arrest,36
escorted,22
capital,216
city,974
Randgriz,1
present,348
evidence,284
exonerating,2
weary,6
expose,13
General,445
Treason,5
Partly,2
due,713
events,394
partly,69
major,583
losses,99
manpower,10
suffers,7
towards,308
end,979
Empire,138
offered,160
formal,52
position,463
rather,291
serve,110
anonymous,26
shadow,10
force,377
short,456
lived,195
however,512
following,863
Maximilian,6
defeat,190
ancient,136
Valkyrian,2
super,20
benefactor,3
Without,45
support,522
chance,86
prove,57
last,615
trump,1
card,42
creating,109
new,1501
armed,132
invading,9
just,631
nations,50
cease,21
fire,425
certainly,45
wreck,9
newfound,3
peace,113
decides,55
again,557
