Bigram,Frequency
"('<s>', '=')",160
"('=', 'Valkyria')",2
"('Valkyria', 'Chronicles')",36
"('Chronicles', 'III')",15
"('III', '=')",1
"('=', 'Senjō')",1
"('Senjō', 'no')",5
"('no', 'Valkyria')",5
"('Valkyria', '3')",5
"('3', ':')",6
"(':', 'Unrecorded')",1
"('Unrecorded', 'Chronicles')",1
"('Chronicles', '(')",1
"('(', 'Japanese')",1
"('Japanese', ':')",1
"(':', '戦場のヴァルキュリア3')",1
"('戦場のヴァルキュリア3', ',')",1
"(',', 'lit')",4
"('lit', '.')",4
"('.', '<e>')",2240
"('<s>', 'Valkyria')",4
"('Valkyria', 'of')",4
"('of', 'the')",559
"('the', 'Battlefield')",4
"('Battlefield', '3')",4
"('3', ')')",1
"(')', ',')",51
"(',', 'commonly')",1
"('commonly', 'referred')",1
"('referred', 'to')",9
"('to', 'as')",5
"('as', 'Valkyria')",1
"('III', 'outside')",1
"('outside', 'Japan')",1
"('Japan', ',')",5
"(',', 'is')",19
"('is', 'a')",39
"('a', 'tactical')",2
"('tactical', 'role')",2
"('role', '@')",3
"('@', '-')",516
"('-', '@')",516
"('@', 'playing')",3
"('playing', 'video')",2
"('video', 'game')",2
"('game', 'developed')",1
"('developed', 'by')",3
"('by', 'Sega')",3
"('Sega', 'and')",1
"('and', 'Media.Vision')",1
"('Media.Vision', 'for')",1
"('for', 'the')",132
"('the', 'PlayStation')",5
"('PlayStation', 'Portable')",3
"('Portable', '.')",2
"('<s>', 'Released')",2
"('Released', 'in')",1
"('in', 'January')",3
"('January', '2011')",2
"('2011', 'in')",1
"('in', 'Japan')",4
"(',', 'it')",28
"('it', 'is')",9
"('is', 'the')",26
"('the', 'third')",8
"('third', 'game')",2
"('game', 'in')",4
"('in', 'the')",324
"('the', 'Valkyria')",7
"('Valkyria', 'series')",2
"('series', '.')",8
"('<s>', 'Employing')",1
"('Employing', 'the')",1
"('the', 'same')",35
"('same', 'fusion')",1
"('fusion', 'of')",1
"('of', 'tactical')",1
"('tactical', 'and')",1
"('and', 'real')",1
"('real', '@')",1
"('@', 'time')",5
"('time', 'gameplay')",1
"('gameplay', 'as')",1
"('as', 'its')",3
"('its', 'predecessors')",1
"('predecessors', ',')",2
"(',', 'the')",229
"('the', 'story')",6
"('story', 'runs')",1
"('runs', 'parallel')",1
"('parallel', 'to')",1
"('to', 'the')",177
"('the', 'first')",40
"('first', 'game')",5
"('game', 'and')",5
"('and', 'follows')",1
"('follows', 'the')",2
"('the', '``')",18
"('``', 'Nameless')",1
"('Nameless', '``')",2
"('``', ',')",49
"(',', 'a')",68
"('a', 'penal')",2
"('penal', 'military')",2
"('military', 'unit')",3
"('unit', 'serving')",1
"('serving', 'the')",1
"('the', 'nation')",8
"('nation', 'of')",1
"('of', 'Gallia')",2
"('Gallia', 'during')",1
"('during', 'the')",32
"('the', 'Second')",5
"('Second', 'Europan')",2
"('Europan', 'War')",2
"('War', 'who')",1
"('who', 'perform')",1
"('perform', 'secret')",1
"('secret', 'black')",1
"('black', 'operations')",1
"('operations', 'and')",2
"('and', 'are')",5
"('are', 'pitted')",1
"('pitted', 'against')",1
"('against', 'the')",17
"('the', 'Imperial')",1
"('Imperial', 'unit')",2
"('unit', '``')",1
"('``', 'Calamaty')",1
"('Calamaty', 'Raven')",1
"('Raven', '``')",1
"('``', '.')",33
"('<s>', 'The')",435
"('The', 'game')",7
"('game', 'began')",1
"('began', 'development')",2
"('development', 'in')",2
"('in', '2010')",2
"('2010', ',')",5
"(',', 'carrying')",1
"('carrying', 'over')",1
"('over', 'a')",4
"('a', 'large')",5
"('large', 'portion')",2
"('portion', 'of')",5
"('the', 'work')",8
"('work', 'done')",1
"('done', 'on')",2
"('on', 'Valkyria')",2
"('Chronicles', 'II')",13
"('II', '.')",3
"('<s>', 'While')",19
"('While', 'it')",1
"('it', 'retained')",1
"('retained', 'the')",1
"('the', 'standard')",2
"('standard', 'features')",1
"('features', 'of')",4
"('the', 'series')",9
"('series', ',')",2
"('it', 'also')",4
"('also', 'underwent')",1
"('underwent', 'multiple')",1
"('multiple', 'adjustments')",1
"('adjustments', ',')",1
"(',', 'such')",24
"('such', 'as')",40
"('as', 'making')",1
"('making', 'the')",4
"('the', 'game')",40
"('game', 'more')",1
"('more', 'forgiving')",1
"('forgiving', 'for')",1
"('for', 'series')",1
"('series', 'newcomers')",1
"('newcomers', '.')",1
"('<s>', 'Character')",1
"('Character', 'designer')",1
"('designer', 'Raita')",1
"('Raita', 'Honjou')",2
"('Honjou', 'and')",1
"('and', 'composer')",1
"('composer', 'Hitoshi')",1
"('Hitoshi', 'Sakimoto')",2
"('Sakimoto', 'both')",1
"('both', 'returned')",1
"('returned', 'from')",3
"('from', 'previous')",2
"('previous', 'entries')",1
"('entries', ',')",1
"(',', 'along')",16
"('along', 'with')",23
"('with', 'Valkyria')",1
"('II', 'director')",1
"('director', 'Takeshi')",1
"('Takeshi', 'Ozawa')",2
"('Ozawa', '.')",1
"('<s>', 'A')",34
"('A', 'large')",1
"('large', 'team')",1
"('team', 'of')",4
"('of', 'writers')",1
"('writers', 'handled')",1
"('handled', 'the')",1
"('the', 'script')",2
"('script', '.')",1
"('game', ""'s"")",15
"(""'s"", 'opening')",2
"('opening', 'theme')",3
"('theme', 'was')",5
"('was', 'sung')",4
"('sung', 'by')",4
"('by', 'May')",1
"('May', ""'n"")",3
"(""'n"", '.')",2
"('<s>', 'It')",56
"('It', 'met')",1
"('met', 'with')",1
"('with', 'positive')",1
"('positive', 'sales')",1
"('sales', 'in')",1
"(',', 'and')",432
"('and', 'was')",20
"('was', 'praised')",2
"('praised', 'by')",1
"('by', 'both')",2
"('both', 'Japanese')",1
"('Japanese', 'and')",1
"('and', 'western')",1
"('western', 'critics')",1
"('critics', '.')",1
"('<s>', 'After')",26
"('After', 'release')",1
"('release', ',')",1
"('it', 'received')",1
"('received', 'downloadable')",1
"('downloadable', 'content')",2
"('content', ',')",1
"('with', 'an')",10
"('an', 'expanded')",2
"('expanded', 'edition')",3
"('edition', 'in')",1
"('in', 'November')",4
"('November', 'of')",1
"('of', 'that')",14
"('that', 'year')",12
"('year', '.')",14
"('It', 'was')",20
"('was', 'also')",15
"('also', 'adapted')",1
"('adapted', 'into')",2
"('into', 'manga')",1
"('manga', 'and')",1
"('and', 'an')",7
"('an', 'original')",1
"('original', 'video')",2
"('video', 'animation')",2
"('animation', 'series')",2
"('<s>', 'Due')",4
"('Due', 'to')",4
"('to', 'low')",1
"('low', 'sales')",1
"('sales', 'of')",2
"('of', 'Valkyria')",9
"('II', ',')",4
"(',', 'Valkyria')",7
"('III', 'was')",3
"('was', 'not')",15
"('not', 'localized')",1
"('localized', ',')",1
"(',', 'but')",86
"('but', 'a')",2
"('a', 'fan')",1
"('fan', 'translation')",2
"('translation', 'compatible')",1
"('compatible', 'with')",2
"('with', 'the')",119
"(""'s"", 'expanded')",1
"('edition', 'was')",1
"('was', 'released')",6
"('released', 'in')",5
"('in', '2014')",1
"('2014', '.')",2
"('<s>', 'Media.Vision')",2
"('Media.Vision', 'would')",2
"('would', 'return')",2
"('return', 'to')",4
"('the', 'franchise')",7
"('franchise', 'with')",1
"('the', 'development')",6
"('development', 'of')",9
"('Valkyria', ':')",2
"(':', 'Azure')",2
"('Azure', 'Revolution')",3
"('Revolution', 'for')",1
"('PlayStation', '4')",2
"('4', '.')",1
"('=', '=')",498
"('=', 'Gameplay')",1
"('Gameplay', '=')",1
"('=', 'As')",3
"('As', 'with')",2
"('with', 'previous')",1
"('previous', 'Valkyira')",1
"('Valkyira', 'Chronicles')",2
"('Chronicles', 'games')",4
"('games', ',')",12
"('III', 'is')",1
"('playing', 'game')",1
"('game', 'where')",1
"('where', 'players')",1
"('players', 'take')",1
"('take', 'control')",2
"('control', 'of')",9
"('of', 'a')",50
"('a', 'military')",2
"('unit', 'and')",1
"('and', 'take')",1
"('take', 'part')",2
"('part', 'in')",4
"('in', 'missions')",1
"('missions', 'against')",1
"('against', 'enemy')",1
"('enemy', 'forces')",1
"('forces', '.')",2
"('<s>', 'Stories')",1
"('Stories', 'are')",1
"('are', 'told')",1
"('told', 'through')",1
"('through', 'comic')",1
"('comic', 'book')",1
"('book', '@')",1
"('@', 'like')",10
"('like', 'panels')",1
"('panels', 'with')",1
"('with', 'animated')",1
"('animated', 'character')",1
"('character', 'portraits')",1
"('portraits', ',')",1
"(',', 'with')",41
"('with', 'characters')",1
"('characters', 'speaking')",1
"('speaking', 'partially')",1
"('partially', 'through')",2
"('through', 'voiced')",1
"('voiced', 'speech')",1
"('speech', 'bubbles')",1
"('bubbles', 'and')",1
"('and', 'partially')",1
"('through', 'unvoiced')",1
"('unvoiced', 'text')",1
"('text', '.')",1
"('The', 'player')",1
"('player', 'progresses')",1
"('progresses', 'through')",1
"('through', 'a')",4
"('a', 'series')",6
"('series', 'of')",8
"('of', 'linear')",1
"('linear', 'missions')",1
"('missions', ',')",3
"(',', 'gradually')",1
"('gradually', 'unlocked')",1
"('unlocked', 'as')",1
"('as', 'maps')",1
"('maps', 'that')",1
"('that', 'can')",4
"('can', 'be')",17
"('be', 'freely')",2
"('freely', 'scanned')",1
"('scanned', 'through')",1
"('through', 'and')",1
"('and', 'replayed')",1
"('replayed', 'as')",1
"('as', 'they')",7
"('they', 'are')",8
"('are', 'unlocked')",2
"('unlocked', '.')",1
"('The', 'route')",5
"('route', 'to')",1
"('to', 'each')",2
"('each', 'story')",1
"('story', 'location')",1
"('location', 'on')",1
"('on', 'the')",107
"('the', 'map')",1
"('map', 'varies')",1
"('varies', 'depending')",1
"('depending', 'on')",3
"('on', 'an')",4
"('an', 'individual')",3
"('individual', 'player')",1
"('player', ""'s"")",3
"(""'s"", 'approach')",1
"('approach', ':')",1
"(':', 'when')",1
"('when', 'one')",1
"('one', 'option')",1
"('option', 'is')",1
"('is', 'selected')",2
"('selected', ',')",2
"('the', 'other')",15
"('other', 'is')",1
"('is', 'sealed')",1
"('sealed', 'off')",1
"('off', 'to')",1
"('the', 'player')",5
"('player', '.')",2
"('<s>', 'Outside')",1
"('Outside', 'missions')",1
"('player', 'characters')",1
"('characters', 'rest')",1
"('rest', 'in')",1
"('in', 'a')",64
"('a', 'camp')",1
"('camp', ',')",2
"(',', 'where')",19
"('where', 'units')",1
"('units', 'can')",1
"('be', 'customized')",1
"('customized', 'and')",1
"('and', 'character')",1
"('character', 'growth')",1
"('growth', 'occurs')",1
"('occurs', '.')",1
"('<s>', 'Alongside')",3
"('Alongside', 'the')",1
"('the', 'main')",8
"('main', 'story')",1
"('story', 'missions')",1
"('missions', 'are')",1
"('are', 'character')",1
"('character', '@')",1
"('@', 'specific')",3
"('specific', 'sub')",1
"('sub', 'missions')",1
"('missions', 'relating')",1
"('relating', 'to')",5
"('to', 'different')",2
"('different', 'squad')",1
"('squad', 'members')",2
"('members', '.')",2
"('After', 'the')",14
"(""'s"", 'completion')",1
"('completion', ',')",1
"(',', 'additional')",1
