BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;2639;-1;<p:>;;;;;;;;;;
2640;1439;0;d;;Discussing;d I s k V s I N;;;;;;;
4080;1199;0;I;;Discussing;d I s k V s I N;;;;;;;
5280;2639;0;s;;Discussing;d I s k V s I N;;;;;;;
7920;1439;0;k;;Discussing;d I s k V s I N;;;;;;;
9360;1919;0;V;;Discussing;d I s k V s I N;;;;;;;
11280;1679;0;s;;Discussing;d I s k V s I N;;;;;;;
12960;1199;0;I;;Discussing;d I s k V s I N;;;;;;;
14160;1199;0;N;;Discussing;d I s k V s I N;;;;;;;
15360;959;1;D;;the;D V;;;;;;;
16320;719;1;V;;the;D V;;;;;;;
17040;4559;2;3`;;early;3` l i:;;;;;;;
21600;2159;2;l;;early;3` l i:;;;;;;;
23760;2879;2;i:;;early;3` l i:;;;;;;;
26640;1919;3;R;;Roman;R @U m V n;;;;;;;
28560;1199;3;@U;;Roman;R @U m V n;;;;;;;
29760;2399;3;m;;Roman;R @U m V n;;;;;;;
32160;719;3;V;;Roman;R @U m V n;;;;;;;
32880;3119;3;n;;Roman;R @U m V n;;;;;;;
36000;2159;4;k;;Catholic;k { T l I k;;;;;;;
38160;2159;4;{;;Catholic;k { T l I k;;;;;;;
40320;2399;4;T;;Catholic;k { T l I k;;;;;;;
42720;2159;4;l;;Catholic;k { T l I k;;;;;;;
44880;1199;4;I;;Catholic;k { T l I k;;;;;;;
46080;1199;4;k;;Catholic;k { T l I k;;;;;;;
47280;3119;5;tS;;Church;tS 3` tS;;;;;;;
50400;2639;5;3`;;Church;tS 3` tS;;;;;;;
53040;3599;5;tS;;Church;tS 3` tS;;;;;;;
56640;2639;6;s;;s;s;;;;;;;
59280;1199;7;d;;demonisation;d i: m V n I z eI S V n;;;;;;;
60480;1439;7;I;;demonisation;d i: m V n I z eI S V n;;;;;;;
61920;1679;7;m;;demonisation;d i: m V n I z eI S V n;;;;;;;
63600;2399;7;V;;demonisation;d i: m V n I z eI S V n;;;;;;;
66000;719;7;n;;demonisation;d i: m V n I z eI S V n;;;;;;;
66720;1919;7;I;;demonisation;d i: m V n I z eI S V n;;;;;;;
68640;1439;7;z;;demonisation;d i: m V n I z eI S V n;;;;;;;
70080;3119;7;eI;;demonisation;d i: m V n I z eI S V n;;;;;;;
73200;2639;7;S;;demonisation;d i: m V n I z eI S V n;;;;;;;
75840;719;7;V;;demonisation;d i: m V n I z eI S V n;;;;;;;
76560;1439;7;n;;demonisation;d i: m V n I z eI S V n;;;;;;;
78000;959;8;V;;of;V v;;;;;;;
78960;1439;8;v;;of;V v;;;;;;;
80400;3119;9;p;;pagan;p eI g V n;;;;;;;
83520;1679;9;eI;;pagan;p eI g V n;;;;;;;
85200;2159;9;g;;pagan;p eI g V n;;;;;;;
87360;719;9;V;;pagan;p eI g V n;;;;;;;
88080;1919;9;n;;pagan;p eI g V n;;;;;;;
90000;1199;10;d;;deities;d i: V t i: z;;;;;;;
91200;3119;10;i:;;deities;d i: V t i: z;;;;;;;
94320;719;10;V;;deities;d i: V t i: z;;;;;;;
95040;959;10;t;;deities;d i: V t i: z;;;;;;;
96000;5039;10;i:;;deities;d i: V t i: z;;;;;;;
101040;3359;10;z;;deities;d i: V t i: z;;;;;;;
104400;5999;-1;<p:>;;;;;;;;;;
110400;1199;11;m;;Merrifield;m E R I f i: l d;;;;;;;
111600;1439;11;E;;Merrifield;m E R I f i: l d;;;;;;;
113040;2159;11;R;;Merrifield;m E R I f i: l d;;;;;;;
115200;719;11;I;;Merrifield;m E R I f i: l d;;;;;;;
115920;1919;11;f;;Merrifield;m E R I f i: l d;;;;;;;
117840;2159;11;i:;;Merrifield;m E R I f i: l d;;;;;;;
120000;1199;11;l;;Merrifield;m E R I f i: l d;;;;;;;
121200;1439;11;d;;Merrifield;m E R I f i: l d;;;;;;;
122640;2399;12;s;;states;s t eI t s;;;;;;;
125040;1199;12;t;;states;s t eI t s;;;;;;;
126240;4319;12;eI;;states;s t eI t s;;;;;;;
130560;1439;12;t;;states;s t eI t s;;;;;;;
132000;959;12;s;;states;s t eI t s;;;;;;;
132960;1199;13;D;;that;D { t;;;;;;;
134160;1199;13;{;;that;D { t;;;;;;;
135360;1199;13;t;;that;D { t;;;;;;;
136560;719;14;D;;the;D V;;;;;;;
137280;1199;14;V;;the;D V;;;;;;;
138480;3599;15;tS;;Church;tS 3` tS;;;;;;;
142080;2639;15;3`;;Church;tS 3` tS;;;;;;;
144720;3599;15;tS;;Church;tS 3` tS;;;;;;;
148320;2159;16;k;;continued;k V n t I n j u: d;;;;;;;
150480;719;16;V;;continued;k V n t I n j u: d;;;;;;;
151200;1439;16;n;;continued;k V n t I n j u: d;;;;;;;
152640;2639;16;t;;continued;k V n t I n j u: d;;;;;;;
155280;959;16;I;;continued;k V n t I n j u: d;;;;;;;
156240;1439;16;n;;continued;k V n t I n j u: d;;;;;;;
157680;1199;16;j;;continued;k V n t I n j u: d;;;;;;;
158880;1439;16;u;;continued;k V n t I n j u: d;;;;;;;
160320;1799;16;d;;continued;k V n t I n j u: d;;;;;;;
162120;2039;17;p;;propagating;p R Q p V g eI t I N;;;;;;;
164160;719;17;R;;propagating;p R Q p V g eI t I N;;;;;;;
164880;1679;17;Q;;propagating;p R Q p V g eI t I N;;;;;;;
166560;1679;17;p;;propagating;p R Q p V g eI t I N;;;;;;;
168240;719;17;V;;propagating;p R Q p V g eI t I N;;;;;;;
168960;2399;17;g;;propagating;p R Q p V g eI t I N;;;;;;;
171360;1679;17;eI;;propagating;p R Q p V g eI t I N;;;;;;;
173040;1199;17;4;;propagating;p R Q p V g eI t I N;;;;;;;
174240;719;17;I;;propagating;p R Q p V g eI t I N;;;;;;;
174960;1919;17;N;;propagating;p R Q p V g eI t I N;;;;;;;
176880;1199;18;V;;a;V;;;;;;;
178080;3839;19;f;;form;f O: R m;;;;;;;
181920;1439;19;O:;;form;f O: R m;;;;;;;
183360;959;19;R;;form;f O: R m;;;;;;;
184320;1439;19;m;;form;f O: R m;;;;;;;
185760;719;20;V;;of;V v;;;;;;;
186480;1679;20;v;;of;V v;;;;;;;
188160;3359;21;p;;polytheism;p Q l i: T i: I z V m;;;;;;;
191520;1919;21;Q;;polytheism;p Q l i: T i: I z V m;;;;;;;
193440;1679;21;l;;polytheism;p Q l i: T i: I z V m;;;;;;;
195120;959;21;i:;;polytheism;p Q l i: T i: I z V m;;;;;;;
196080;1919;21;T;;polytheism;p Q l i: T i: I z V m;;;;;;;
198000;2879;21;i:;;polytheism;p Q l i: T i: I z V m;;;;;;;
200880;959;21;I;;polytheism;p Q l i: T i: I z V m;;;;;;;
201840;2159;21;z;;polytheism;p Q l i: T i: I z V m;;;;;;;
204000;1679;21;V;;polytheism;p Q l i: T i: I z V m;;;;;;;
205680;2639;21;m;;polytheism;p Q l i: T i: I z V m;;;;;;;
208320;1199;-1;<p:>;;;;;;;;;;
209520;1439;22;T;;through;T R u:;;;;;;;
210960;719;22;R;;through;T R u:;;;;;;;
211680;1199;22;u;;through;T R u:;;;;;;;
212880;959;23;D;;the;D V;;;;;;;
213840;719;23;V;;the;D V;;;;;;;
214560;2159;-1;<p:>;;;;;;;;;;
216720;3119;24;k;;cult;k V l t;;;;;;;
219840;719;24;V;;cult;k V l t;;;;;;;
220560;959;24;l;;cult;k V l t;;;;;;;
221520;2159;24;t;;cult;k V l t;;;;;;;
223680;719;25;V;;of;V v;;;;;;;
224400;1199;25;v;;of;V v;;;;;;;
225600;959;26;D;;the;D V;;;;;;;
226560;719;26;V;;the;D V;;;;;;;
227280;2159;27;b;;blessed;b l E s t;;;;;;;
229440;1679;27;l;;blessed;b l E s t;;;;;;;
231120;3119;27;E;;blessed;b l E s t;;;;;;;
234240;1679;27;s;;blessed;b l E s t;;;;;;;
235920;1199;27;t;;blessed;b l E s t;;;;;;;
237120;959;28;d;;dead;d E d;;;;;;;
238080;6239;28;E;;dead;d E d;;;;;;;
244320;1679;28;d;;dead;d E d;;;;;;;
246000;5039;-1;<p:>;;;;;;;;;;
251040;1199;29;D;;the;D V;;;;;;;
252240;719;29;V;;the;D V;;;;;;;
252960;1199;30;v;;veneration;v E n 3` eI S V n;;;;;;;
254160;2159;30;E;;veneration;v E n 3` eI S V n;;;;;;;
256320;1439;30;n;;veneration;v E n 3` eI S V n;;;;;;;
257760;2639;30;3`;;veneration;v E n 3` eI S V n;;;;;;;
260400;1919;30;eI;;veneration;v E n 3` eI S V n;;;;;;;
262320;2879;30;S;;veneration;v E n 3` eI S V n;;;;;;;
265200;959;30;V;;veneration;v E n 3` eI S V n;;;;;;;
266160;1439;30;n;;veneration;v E n 3` eI S V n;;;;;;;
267600;1679;31;V;;of;V v;;;;;;;
269280;959;31;v;;of;V v;;;;;;;
270240;3599;32;s;;saints;s eI n t s;;;;;;;
273840;2639;32;eI;;saints;s eI n t s;;;;;;;
276480;1199;32;n;;saints;s eI n t s;;;;;;;
277680;719;32;t;;saints;s eI n t s;;;;;;;
278400;1079;32;s;;saints;s eI n t s;;;;;;;
279480;1319;33;V;;and;V n d;;;;;;;
280800;1919;33;n;;and;V n d;;;;;;;
282720;1199;34;m;;martyrs;m Q R t 3` z;;;;;;;
283920;1919;34;Q;;martyrs;m Q R t 3` z;;;;;;;
285840;1919;34;R;;martyrs;m Q R t 3` z;;;;;;;
287760;719;34;t;;martyrs;m Q R t 3` z;;;;;;;
288480;4079;34;3`;;martyrs;m Q R t 3` z;;;;;;;
292560;3359;34;z;;martyrs;m Q R t 3` z;;;;;;;
295920;3839;-1;<p:>;;;;;;;;;;
299760;959;35;T;;throughout;T R u: aU t;;;;;;;
300720;1919;35;R;;throughout;T R u: aU t;;;;;;;
302640;959;35;u:;;throughout;T R u: aU t;;;;;;;
303600;2159;35;aU;;throughout;T R u: aU t;;;;;;;
305760;1439;35;t;;throughout;T R u: aU t;;;;;;;
307200;959;36;D;;the;D V;;;;;;;
308160;719;36;V;;the;D V;;;;;;;
308880;1919;37;m;;Middle;m I d V l;;;;;;;
310800;1199;37;I;;Middle;m I d V l;;;;;;;
312000;959;37;d;;Middle;m I d V l;;;;;;;
312960;959;37;V;;Middle;m I d V l;;;;;;;
313920;2879;37;l;;Middle;m I d V l;;;;;;;
316800;2639;38;eI;;Ages;eI dZ V z;;;;;;;
319440;2159;38;dZ;;Ages;eI dZ V z;;;;;;;
321600;4799;38;I;;Ages;eI dZ V z;;;;;;;
326400;3599;38;z;;Ages;eI dZ V z;;;;;;;
330000;20783;-1;<p:>;;;;;;;;;;
BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3839;-1;<p:>;;;;;;;;;;
3840;2159;0;z;;Xenon;z i: n Q n;;;;;;;
6000;2639;0;i:;;Xenon;z i: n Q n;;;;;;;
8640;1439;0;n;;Xenon;z i: n Q n;;;;;;;
10080;2879;0;Q;;Xenon;z i: n Q n;;;;;;;
12960;959;0;n;;Xenon;z i: n Q n;;;;;;;
13920;2159;1;{;;at;{ t;;;;;;;
16080;1919;1;t;;at;{ t;;;;;;;
18000;2879;2;eI;;eighty;eI t i:;;;;;;;
20880;959;2;4;;eighty;eI t i:;;;;;;;
21840;1919;2;i:;;eighty;eI t i:;;;;;;;
23760;2639;-1;<p:>;;;;;;;;;;
26400;9119;3;k;;concentration;k Q n s V n t R eI S V n;;;;;;;
35520;1919;3;Q;;concentration;k Q n s V n t R eI S V n;;;;;;;
37440;1439;3;n;;concentration;k Q n s V n t R eI S V n;;;;;;;
38880;1679;3;s;;concentration;k Q n s V n t R eI S V n;;;;;;;
40560;719;3;V;;concentration;k Q n s V n t R eI S V n;;;;;;;
41280;1439;3;n;;concentration;k Q n s V n t R eI S V n;;;;;;;
42720;2639;3;t;;concentration;k Q n s V n t R eI S V n;;;;;;;
45360;1199;3;R;;concentration;k Q n s V n t R eI S V n;;;;;;;
46560;1679;3;eI;;concentration;k Q n s V n t R eI S V n;;;;;;;
48240;3119;3;S;;concentration;k Q n s V n t R eI S V n;;;;;;;
51360;2399;3;V;;concentration;k Q n s V n t R eI S V n;;;;;;;
53760;1439;3;n;;concentration;k Q n s V n t R eI S V n;;;;;;;
55200;2639;4;?;;along;V l O: N;;;;;;;
57840;1919;4;V;;along;V l O: N;;;;;;;
59760;1919;4;l;;along;V l O: N;;;;;;;
61680;2159;4;O:;;along;V l O: N;;;;;;;
63840;719;4;N;;along;V l O: N;;;;;;;
64560;1679;5;w;;with;w I D;;;;;;;
66240;959;5;I;;with;w I D;;;;;;;
67200;719;5;D;;with;w I D;;;;;;;
67920;3119;6;t;;twenty;t w E n t i:;;;;;;;
71040;719;6;w;;twenty;t w E n t i:;;;;;;;
71760;1439;6;E;;twenty;t w E n t i:;;;;;;;
73200;719;6;n;;twenty;t w E n t i:;;;;;;;
73920;719;6;t;;twenty;t w E n t i:;;;;;;;
74640;2399;6;i:;;twenty;t w E n t i:;;;;;;;
77040;8639;7;?;;oxygen;Q k s V dZ V n;;;;;;;
85680;3839;7;Q;;oxygen;Q k s V dZ V n;;;;;;;
89520;1439;7;k;;oxygen;Q k s V dZ V n;;;;;;;
90960;1679;7;s;;oxygen;Q k s V dZ V n;;;;;;;
92640;719;7;V;;oxygen;Q k s V dZ V n;;;;;;;
93360;2639;7;dZ;;oxygen;Q k s V dZ V n;;;;;;;
96000;1439;7;V;;oxygen;Q k s V dZ V n;;;;;;;
97440;1199;7;n;;oxygen;Q k s V dZ V n;;;;;;;
98640;3359;8;R;;rapidly;R { p V d l i:;;;;;;;
102000;1919;8;{;;rapidly;R { p V d l i:;;;;;;;
103920;1439;8;p;;rapidly;R { p V d l i:;;;;;;;
105360;1439;8;V;;rapidly;R { p V d l i:;;;;;;;
106800;1439;8;d;;rapidly;R { p V d l i:;;;;;;;
108240;959;8;l;;rapidly;R { p V d l i:;;;;;;;
109200;2159;8;i:;;rapidly;R { p V d l i:;;;;;;;
111360;1919;9;p;;produces;p R V d u: s V z;;;;;;;
113280;1199;9;R;;produces;p R V d u: s V z;;;;;;;
114480;719;9;V;;produces;p R V d u: s V z;;;;;;;
115200;959;9;d;;produces;p R V d u: s V z;;;;;;;
116160;2399;9;u:;;produces;p R V d u: s V z;;;;;;;
118560;2639;9;s;;produces;p R V d u: s V z;;;;;;;
121200;1679;9;V;;produces;p R V d u: s V z;;;;;;;
122880;959;9;z;;produces;p R V d u: s V z;;;;;;;
123840;2399;10;D;;the;D V;;;;;;;
126240;2399;10;V;;the;D V;;;;;;;
128640;719;11;V;;unconsciousness;V n k Q n S V s n I s;;;;;;;
129360;1919;11;n;;unconsciousness;V n k Q n S V s n I s;;;;;;;
131280;2399;11;k;;unconsciousness;V n k Q n S V s n I s;;;;;;;
133680;1919;11;Q;;unconsciousness;V n k Q n S V s n I s;;;;;;;
135600;1199;11;n;;unconsciousness;V n k Q n S V s n I s;;;;;;;
136800;1439;11;S;;unconsciousness;V n k Q n S V s n I s;;;;;;;
138240;1439;11;V;;unconsciousness;V n k Q n S V s n I s;;;;;;;
139680;2159;11;s;;unconsciousness;V n k Q n S V s n I s;;;;;;;
141840;719;11;n;;unconsciousness;V n k Q n S V s n I s;;;;;;;
142560;2159;11;I;;unconsciousness;V n k Q n S V s n I s;;;;;;;
