BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3119;-1;<p:>;;;;;;;;;;
3120;719;0;D;;There;D E R;;;;;;;
3840;1919;0;E;;There;D E R;;;;;;;
5760;1199;0;R;;There;D E R;;;;;;;
6960;1439;1;I;;is;I z;;;;;;;
8400;1919;1;z;;is;I z;;;;;;;
10320;1439;2;h;;however;h aU E v 3`;;;;;;;
11760;2399;2;aU;;however;h aU E v 3`;;;;;;;
14160;2399;2;E;;however;h aU E v 3`;;;;;;;
16560;1199;2;v;;however;h aU E v 3`;;;;;;;
17760;4319;2;3`;;however;h aU E v 3`;;;;;;;
22080;2159;-1;<p:>;;;;;;;;;;
24240;1679;3;n;;no;n @U;;;;;;;
25920;3359;3;@U;;no;n @U;;;;;;;
29280;2399;4;?;;evidence;E v V d V n s;;;;;;;
31680;1199;4;E;;evidence;E v V d V n s;;;;;;;
32880;1199;4;v;;evidence;E v V d V n s;;;;;;;
34080;719;4;V;;evidence;E v V d V n s;;;;;;;
34800;1439;4;d;;evidence;E v V d V n s;;;;;;;
36240;959;4;V;;evidence;E v V d V n s;;;;;;;
37200;2159;4;n;;evidence;E v V d V n s;;;;;;;
39360;1439;4;s;;evidence;E v V d V n s;;;;;;;
40800;719;5;V;;of;V v;;;;;;;
41520;1199;5;v;;of;V v;;;;;;;
42720;959;6;D;;the;D V;;;;;;;
43680;719;6;V;;the;D V;;;;;;;
44400;2879;7;I;;existence;E g z I s t V n s;;;;;;;
47280;1439;7;g;;existence;E g z I s t V n s;;;;;;;
48720;1919;7;z;;existence;E g z I s t V n s;;;;;;;
50640;1679;7;I;;existence;E g z I s t V n s;;;;;;;
52320;1679;7;s;;existence;E g z I s t V n s;;;;;;;
54000;2159;7;t;;existence;E g z I s t V n s;;;;;;;
56160;719;7;V;;existence;E g z I s t V n s;;;;;;;
56880;2159;7;n;;existence;E g z I s t V n s;;;;;;;
59040;1439;7;s;;existence;E g z I s t V n s;;;;;;;
60480;719;8;V;;of;V v;;;;;;;
61200;1199;8;v;;of;V v;;;;;;;
62400;2879;9;s;;such;s V tS;;;;;;;
65280;1439;9;V;;such;s V tS;;;;;;;
66720;2399;9;tS;;such;s V tS;;;;;;;
69120;719;10;V;;a;V;;;;;;;
69840;1679;-1;<p:>;;;;;;;;;;
71520;1679;11;p;;person;p 3` s V n;;;;;;;
73200;2399;11;3`;;person;p 3` s V n;;;;;;;
75600;2879;11;s;;person;p 3` s V n;;;;;;;
78480;959;11;V;;person;p 3` s V n;;;;;;;
79440;4079;11;n;;person;p 3` s V n;;;;;;;
83520;6719;-1;<p:>;;;;;;;;;;
90240;959;12;V;;and;V n d;;;;;;;
91200;1919;12;n;;and;V n d;;;;;;;
93120;2879;13;k;;condoms;k Q n d V m z;;;;;;;
96000;2159;13;Q;;condoms;k Q n d V m z;;;;;;;
98160;959;13;n;;condoms;k Q n d V m z;;;;;;;
99120;959;13;d;;condoms;k Q n d V m z;;;;;;;
100080;719;13;V;;condoms;k Q n d V m z;;;;;;;
100800;1919;13;m;;condoms;k Q n d V m z;;;;;;;
102720;1679;13;z;;condoms;k Q n d V m z;;;;;;;
104400;959;14;h;;had;h { d;;;;;;;
105360;1199;14;{;;had;h { d;;;;;;;
106560;1679;14;d;;had;h { d;;;;;;;
108240;959;15;b;;been;b I n;;;;;;;
109200;1919;15;I;;been;b I n;;;;;;;
111120;959;15;n;;been;b I n;;;;;;;
112080;1919;16;j;;used;j u: z d;;;;;;;
114000;2399;16;u;;used;j u: z d;;;;;;;
116400;2159;16;z;;used;j u: z d;;;;;;;
118560;719;16;d;;used;j u: z d;;;;;;;
119280;1919;17;f;;for;f O: R;;;;;;;
121200;2399;17;6;;for;f O: R;;;;;;;
123600;2399;18;@U;;over;@U v 3`;;;;;;;
126000;1199;18;v;;over;@U v 3`;;;;;;;
127200;1199;18;3`;;over;@U v 3`;;;;;;;
128400;4319;19;w;;one;w V n;;;;;;;
132720;1199;19;V;;one;w V n;;;;;;;
133920;1199;19;n;;one;w V n;;;;;;;
135120;2159;20;h\;;hundred;h V n d R V d;;;;;;;
137280;719;20;V;;hundred;h V n d R V d;;;;;;;
138000;719;20;n;;hundred;h V n d R V d;;;;;;;
138720;1199;20;d;;hundred;h V n d R V d;;;;;;;
139920;1679;20;R;;hundred;h V n d R V d;;;;;;;
141600;959;20;V;;hundred;h V n d R V d;;;;;;;
142560;719;20;d;;hundred;h V n d R V d;;;;;;;
143280;2639;21;j;;years;j I R z;;;;;;;
145920;719;21;I;;years;j I R z;;;;;;;
146640;3599;21;6;;years;j I R z;;;;;;;
150240;2639;21;z;;years;j I R z;;;;;;;
152880;1679;22;b;;before;b I f O: R;;;;;;;
154560;959;22;I;;before;b I f O: R;;;;;;;
155520;3119;22;f;;before;b I f O: R;;;;;;;
