BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;2879;-1;<p:>;;;;;;;;;;
2880;2879;0;t;;Two;t u:;;;;;;;
5760;959;0;I;;Two;t u:;;;;;;;
6720;2639;1;j;;years;j I R z;;;;;;;
9360;1199;1;I;;years;j I R z;;;;;;;
10560;959;1;6;;years;j I R z;;;;;;;
11520;3119;1;z;;years;j I R z;;;;;;;
14640;1439;2;l;;later;l eI t 3`;;;;;;;
16080;3119;2;eI;;later;l eI t 3`;;;;;;;
19200;2639;2;t;;later;l eI t 3`;;;;;;;
21840;2879;2;3`;;later;l eI t 3`;;;;;;;
24720;9119;-1;<p:>;;;;;;;;;;
33840;2399;3;{;;at;{ t;;;;;;;
36240;2879;3;t;;at;{ t;;;;;;;
39120;719;4;R;;WrestleMania;R E s V l m eI n i: V;;;;;;;
39840;2159;4;E;;WrestleMania;R E s V l m eI n i: V;;;;;;;
42000;2159;4;s;;WrestleMania;R E s V l m eI n i: V;;;;;;;
44160;959;4;V;;WrestleMania;R E s V l m eI n i: V;;;;;;;
45120;719;4;l;;WrestleMania;R E s V l m eI n i: V;;;;;;;
45840;1919;4;m;;WrestleMania;R E s V l m eI n i: V;;;;;;;
47760;2399;4;eI;;WrestleMania;R E s V l m eI n i: V;;;;;;;
50160;1439;4;n;;WrestleMania;R E s V l m eI n i: V;;;;;;;
51600;1919;4;i:;;WrestleMania;R E s V l m eI n i: V;;;;;;;
53520;1439;4;V;;WrestleMania;R E s V l m eI n i: V;;;;;;;
54960;1679;5;I;;XXX;I k s I k s I k s;;;;;;;
56640;1199;5;k;;XXX;I k s I k s I k s;;;;;;;
57840;2399;5;s;;XXX;I k s I k s I k s;;;;;;;
60240;959;5;I;;XXX;I k s I k s I k s;;;;;;;
61200;1679;5;k;;XXX;I k s I k s I k s;;;;;;;
62880;959;5;s;;XXX;I k s I k s I k s;;;;;;;
63840;6239;5;I;;XXX;I k s I k s I k s;;;;;;;
70080;1679;5;k;;XXX;I k s I k s I k s;;;;;;;
71760;2399;5;s;;XXX;I k s I k s I k s;;;;;;;
74160;9119;-1;<p:>;;;;;;;;;;
83280;719;6;l;;Lesnar;l E s n 3`;;;;;;;
84000;2879;6;E;;Lesnar;l E s n 3`;;;;;;;
86880;2159;6;s;;Lesnar;l E s n 3`;;;;;;;
