BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3599;-1;<p:>;;;;;;;;;;
3600;1199;0;m;;Manila;m V n I l V;;;;;;;
4800;719;0;V;;Manila;m V n I l V;;;;;;;
5520;1439;0;n;;Manila;m V n I l V;;;;;;;
6960;2159;0;I;;Manila;m V n I l V;;;;;;;
9120;2399;0;l;;Manila;m V n I l V;;;;;;;
11520;4079;0;V;;Manila;m V n I l V;;;;;;;
15600;1919;1;I;;is;I z;;;;;;;
17520;1439;1;z;;is;I z;;;;;;;
18960;3119;2;O:;;also;O: l s @U;;;;;;;
22080;719;2;l;;also;O: l s @U;;;;;;;
22800;2639;2;s;;also;O: l s @U;;;;;;;
25440;1679;2;@;;also;O: l s @U;;;;;;;
27120;719;3;D;;the;D V;;;;;;;
27840;1439;3;V;;the;D V;;;;;;;
29280;3119;4;s;;site;s aI t;;;;;;;
32400;3119;4;aI;;site;s aI t;;;;;;;
35520;1199;4;4;;site;s aI t;;;;;;;
36720;719;5;V;;of;V v;;;;;;;
37440;1199;5;v;;of;V v;;;;;;;
38640;719;6;D;;the;D V;;;;;;;
39360;1199;6;V;;the;D V;;;;;;;
40560;2399;7;f;;Philippine;f I l V p i: n;;;;;;;
42960;959;7;I;;Philippine;f I l V p i: n;;;;;;;
43920;2159;7;l;;Philippine;f I l V p i: n;;;;;;;
46080;1439;7;V;;Philippine;f I l V p i: n;;;;;;;
47520;2639;7;p;;Philippine;f I l V p i: n;;;;;;;
50160;2399;7;i:;;Philippine;f I l V p i: n;;;;;;;
52560;1439;7;n;;Philippine;f I l V p i: n;;;;;;;
54000;1679;8;dZ;;General;dZ E n 3` V l;;;;;;;
55680;2399;8;E;;General;dZ E n 3` V l;;;;;;;
58080;719;8;n;;General;dZ E n 3` V l;;;;;;;
58800;1439;8;3`;;General;dZ E n 3` V l;;;;;;;
60240;719;8;V;;General;dZ E n 3` V l;;;;;;;
60960;1439;8;l;;General;dZ E n 3` V l;;;;;;;
62400;2639;9;h;;Hospital;h Q s p I t V l;;;;;;;
65040;2639;9;Q;;Hospital;h Q s p I t V l;;;;;;;
67680;2159;9;s;;Hospital;h Q s p I t V l;;;;;;;
69840;959;9;p;;Hospital;h Q s p I t V l;;;;;;;
70800;1439;9;I;;Hospital;h Q s p I t V l;;;;;;;
72240;719;9;t;;Hospital;h Q s p I t V l;;;;;;;
72960;1199;9;V;;Hospital;h Q s p I t V l;;;;;;;
