BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3119;-1;<p:>;;;;;;;;;;
3120;959;0;D;;The;D V;;;;;;;
4080;719;0;V;;The;D V;;;;;;;
4800;2639;1;dZ;;genus;dZ i: n V s;;;;;;;
7440;2879;1;i:;;genus;dZ i: n V s;;;;;;;
10320;959;1;n;;genus;dZ i: n V s;;;;;;;
11280;2159;1;V;;genus;dZ i: n V s;;;;;;;
13440;2639;1;s;;genus;dZ i: n V s;;;;;;;
16080;719;2;w;;was;w Q z;;;;;;;
16800;719;2;Q;;was;w Q z;;;;;;;
17520;2279;2;z;;was;w Q z;;;;;;;
19800;1079;3;n;;named;n eI m d;;;;;;;
20880;2879;3;eI;;named;n eI m d;;;;;;;
23760;719;3;m;;named;n eI m d;;;;;;;
24480;1439;3;d;;named;n eI m d;;;;;;;
25920;2159;4;f;;for;f O: R;;;;;;;
28080;1679;4;6;;for;f O: R;;;;;;;
29760;2159;5;?;;Attalus;V t V l V s;;;;;;;
31920;2639;5;V;;Attalus;V t V l V s;;;;;;;
34560;959;5;4;;Attalus;V t V l V s;;;;;;;
35520;719;5;V;;Attalus;V t V l V s;;;;;;;
36240;2399;5;l;;Attalus;V t V l V s;;;;;;;
38640;1439;5;V;;Attalus;V t V l V s;;;;;;;
40080;3119;5;s;;Attalus;V t V l V s;;;;;;;
43200;3839;-1;<p:>;;;;;;;;;;
47040;959;6;aI;;III;aI aI aI;;;;;;;
48000;959;6;aI;;III;aI aI aI;;;;;;;
48960;959;6;aI;;III;aI aI aI;;;;;;;
49920;2639;7;f;;Philometor;f I l @U m V t 3`;;;;;;;
52560;719;7;I;;Philometor;f I l @U m V t 3`;;;;;;;
53280;2159;7;l;;Philometor;f I l @U m V t 3`;;;;;;;
55440;2399;7;@U;;Philometor;f I l @U m V t 3`;;;;;;;
57840;1919;7;m;;Philometor;f I l @U m V t 3`;;;;;;;
59760;719;7;V;;Philometor;f I l @U m V t 3`;;;;;;;
60480;719;7;t;;Philometor;f I l @U m V t 3`;;;;;;;
61200;4079;7;3`;;Philometor;f I l @U m V t 3`;;;;;;;
65280;5519;-1;<p:>;;;;;;;;;;
70800;2639;8;k;;king;k I N;;;;;;;
73440;1199;8;i:;;king;k I N;;;;;;;
74640;1439;8;N;;king;k I N;;;;;;;
76080;1199;9;V;;of;V v;;;;;;;
77280;719;9;v;;of;V v;;;;;;;
78000;1439;-1;<p:>;;;;;;;;;;
79440;2159;10;p;;Pergamon;p 3` g V m V n;;;;;;;
81600;2159;10;3`;;Pergamon;p 3` g V m V n;;;;;;;
83760;1439;10;g;;Pergamon;p 3` g V m V n;;;;;;;
85200;719;10;V;;Pergamon;p 3` g V m V n;;;;;;;
85920;1919;10;m;;Pergamon;p 3` g V m V n;;;;;;;
87840;2399;10;V;;Pergamon;p 3` g V m V n;;;;;;;
90240;2879;10;n;;Pergamon;p 3` g V m V n;;;;;;;
93120;5519;-1;<p:>;;;;;;;;;;
98640;1919;11;n;;known;n @U n;;;;;;;
100560;2879;11;@U;;known;n @U n;;;;;;;
103440;719;11;n;;known;n @U n;;;;;;;
104160;2159;12;f;;for;f O: R;;;;;;;
106320;1919;12;6;;for;f O: R;;;;;;;
108240;1439;13;I;;his;h I z;;;;;;;
109680;1199;13;z;;his;h I z;;;;;;;
110880;1919;14;?;;interest;I n t R V s t;;;;;;;
112800;1439;14;I;;interest;I n t R V s t;;;;;;;
114240;1199;14;n;;interest;I n t R V s t;;;;;;;
115440;1439;14;t;;interest;I n t R V s t;;;;;;;
116880;1199;14;R;;interest;I n t R V s t;;;;;;;
118080;1439;14;V;;interest;I n t R V s t;;;;;;;
119520;719;14;s;;interest;I n t R V s t;;;;;;;
120240;2159;14;t;;interest;I n t R V s t;;;;;;;
122400;1199;-1;<p:>;;;;;;;;;;
123600;1439;15;I;;in;I n;;;;;;;
125040;959;15;n;;in;I n;;;;;;;
126000;959;16;m;;medicinal;m V d I s V n V l;;;;;;;
126960;719;16;V;;medicinal;m V d I s V n V l;;;;;;;
127680;2399;16;d;;medicinal;m V d I s V n V l;;;;;;;
130080;1199;16;I;;medicinal;m V d I s V n V l;;;;;;;
131280;2879;16;s;;medicinal;m V d I s V n V l;;;;;;;
134160;719;16;V;;medicinal;m V d I s V n V l;;;;;;;
134880;719;16;n;;medicinal;m V d I s V n V l;;;;;;;
135600;719;16;V;;medicinal;m V d I s V n V l;;;;;;;
136320;1199;16;l;;medicinal;m V d I s V n V l;;;;;;;
137520;3119;17;p;;plants;p l { n t s;;;;;;;
140640;1679;17;l;;plants;p l { n t s;;;;;;;
142320;3119;17;{;;plants;p l { n t s;;;;;;;
145440;1439;17;n;;plants;p l { n t s;;;;;;;
146880;959;17;t;;plants;p l { n t s;;;;;;;
147840;3359;17;s;;plants;p l { n t s;;;;;;;
151200;20447;-1;<p:>;;;;;;;;;;
